date,open,high,low,close,volume,adjclose,dividends
2021-03-29,3470.0,3490.0,3400.0,3410.0,72214100,2832.233642578125,0.0
2021-03-30,3420.0,3430.0,3360.0,3380.0,66491800,2807.316650390625,0.0
2021-03-31,3380.0,3420.0,3330.0,3420.0,134671900,2840.53955078125,0.0
2021-04-01,3390.0,3440.0,3380.0,3390.0,73332000,2815.6220703125,0.0
2021-04-05,3430.0,3430.0,3370.0,3380.0,36029200,2807.316650390625,0.0
2021-04-06,3400.0,3410.0,3370.0,3370.0,40566400,2799.010986328125,0.0
2021-04-07,3410.0,3430.0,3380.0,3400.0,84754300,2823.92822265625,0.0
2021-04-08,3380.0,3400.0,3380.0,3390.0,59079700,2815.6220703125,0.0
2021-04-09,3390.0,3390.0,3360.0,3360.0,56861400,2790.705078125,0.0
2021-04-12,3340.0,3390.0,3300.0,3310.0,79003200,2749.177001953125,0.0
2021-04-13,3340.0,3340.0,3300.0,3330.0,51300200,2765.78857421875,0.0
2021-04-14,3360.0,3360.0,3320.0,3340.0,52587500,2774.093994140625,0.0
2021-04-15,3340.0,3360.0,3320.0,3360.0,65669100,2790.705078125,0.0
2021-04-16,3370.0,3370.0,3320.0,3360.0,52517800,2790.705078125,0.0
2021-04-19,3330.0,3360.0,3330.0,3340.0,44899700,2774.093994140625,0.0
2021-04-20,3330.0,3350.0,3300.0,3320.0,55700100,2757.482666015625,0.0
2021-04-21,3290.0,3330.0,3280.0,3280.0,47167800,2724.259765625,0.0
2021-04-22,3290.0,3340.0,3290.0,3330.0,54970000,2765.78857421875,0.0
2021-04-23,3330.0,3330.0,3290.0,3310.0,39798400,2749.177001953125,0.0
2021-04-26,3280.0,3300.0,3250.0,3250.0,55076200,2699.3427734375,0.0
2021-04-27,3240.0,3250.0,3140.0,3160.0,166985400,2624.591796875,0.0
2021-04-28,3160.0,3170.0,3130.0,3140.0,91596300,2607.98046875,0.0
2021-04-29,3150.0,3210.0,3140.0,3200.0,111785100,2657.814697265625,0.0
2021-04-30,3220.0,3260.0,3200.0,3200.0,143840800,2657.814697265625,0.0
2021-05-03,3200.0,3210.0,3130.0,3170.0,124724400,2632.897705078125,0.0
2021-05-04,3180.0,3210.0,3170.0,3210.0,60180600,2666.1201171875,0.0
2021-05-05,3210.0,3210.0,3180.0,3200.0,76480300,2657.814697265625,0.0
2021-05-06,3200.0,3200.0,3150.0,3190.0,91955600,2649.5087890625,0.0
2021-05-07,3200.0,3220.0,3180.0,3190.0,98099900,2649.5087890625,0.0
2021-05-10,3190.0,3200.0,3160.0,3170.0,104121900,2632.897705078125,0.0
2021-05-11,3170.0,3200.0,3150.0,3180.0,94281900,2641.203369140625,0.0
2021-05-17,3190.0,3190.0,3150.0,3190.0,114071400,2649.5087890625,0.0
2021-05-18,3190.0,3190.0,3150.0,3180.0,77310400,2641.203369140625,0.0
2021-05-19,3150.0,3220.0,3150.0,3160.0,48958100,2624.591796875,0.0
2021-05-20,3190.0,3320.0,3180.0,3310.0,197430900,2749.177001953125,0.0
2021-05-21,3340.0,3350.0,3270.0,3270.0,104101400,2715.954345703125,0.0
2021-05-24,3290.0,3330.0,3220.0,3260.0,64347100,2707.648681640625,0.0
2021-05-25,3290.0,3320.0,3270.0,3300.0,62218300,2740.871337890625,0.0
2021-05-27,3350.0,3400.0,3330.0,3380.0,233551300,2807.316650390625,0.0
2021-05-28,3380.0,3400.0,3260.0,3270.0,87439800,2715.954345703125,0.0
2021-05-31,3300.0,3460.0,3300.0,3440.0,155768200,2857.15087890625,0.0
