date,open,high,low,close,volume,adjclose,dividends,splits
2020-07-14,8025.0,8100.0,8000.0,8075.0,6440700,6698.81982421875,0.0,0.0
2020-07-15,8100.0,8125.0,8050.0,8050.0,10766900,6678.07958984375,0.0,0.0
2020-07-16,8050.0,8150.0,8050.0,8100.0,10655000,6719.55810546875,0.0,0.0
2020-07-17,8100.0,8125.0,7900.0,8125.0,5335500,6740.2978515625,0.0,0.0
2020-07-20,8125.0,8150.0,8025.0,8125.0,9056400,6740.2978515625,0.0,0.0
2020-07-21,8125.0,8125.0,8000.0,8000.0,12476400,6636.60107421875,0.0,0.0
2020-07-22,8100.0,8200.0,8000.0,8000.0,10728700,6636.60107421875,0.0,0.0
2020-07-23,8025.0,8075.0,7975.0,8050.0,18413300,6678.07958984375,0.0,0.0
2020-07-24,8075.0,8100.0,8000.0,8050.0,12211100,6678.07958984375,0.0,0.0
2020-07-27,8100.0,8100.0,8000.0,8075.0,6391600,6698.81982421875,0.0,0.0
2020-07-28,8075.0,8150.0,8075.0,8150.0,16665100,6761.03662109375,0.0,0.0
2020-07-29,8150.0,8300.0,8125.0,8250.0,18793500,6843.994140625,0.0,0.0
2020-07-30,8250.0,8400.0,8200.0,8400.0,19708600,6968.43115234375,0.0,0.0
2020-08-03,8400.0,8450.0,8100.0,8250.0,19125400,6843.994140625,0.0,0.0
2020-08-04,8350.0,8350.0,8150.0,8225.0,13251900,6823.25537109375,0.0,0.0
2020-08-05,8225.0,8250.0,8100.0,8250.0,10465900,6934.2021484375,107.0,0.0
2020-08-06,8275.0,8300.0,8150.0,8175.0,12406300,6871.1640625,0.0,0.0
2020-08-07,8175.0,8225.0,8075.0,8125.0,8987900,6829.13916015625,0.0,0.0
2020-08-10,8125.0,8200.0,8100.0,8100.0,7982000,6808.12646484375,0.0,0.0
2020-08-11,8125.0,8150.0,8050.0,8050.0,16657800,6766.10107421875,0.0,0.0
2020-08-12,8075.0,8125.0,8025.0,8050.0,11451200,6766.10107421875,0.0,0.0
2020-08-13,8075.0,8175.0,8050.0,8175.0,11271500,6871.1640625,0.0,0.0
2020-08-14,8175.0,8250.0,8150.0,8200.0,13065900,6892.1767578125,0.0,0.0
2020-08-18,8225.0,8250.0,8175.0,8225.0,12267900,6913.18994140625,0.0,0.0
2020-08-19,8225.0,8275.0,8200.0,8200.0,9945900,6892.1767578125,0.0,0.0
2020-08-24,8225.0,8275.0,8175.0,8175.0,8029000,6871.1640625,0.0,0.0
2020-08-25,8175.0,8250.0,8175.0,8200.0,11597200,6892.1767578125,0.0,0.0
2020-08-26,8200.0,8250.0,8200.0,8200.0,14121900,6892.1767578125,0.0,0.0
2020-08-27,8200.0,8250.0,8175.0,8250.0,11343100,6934.2021484375,0.0,0.0
2020-08-28,8250.0,8275.0,8200.0,8250.0,13210800,6934.2021484375,0.0,0.0
2020-08-31,8275.0,8275.0,8150.0,8225.0,17339800,6913.18994140625,0.0,0.0
2020-09-01,8350.0,8350.0,8150.0,8225.0,15367200,6913.18994140625,0.0,0.0
2020-09-02,8300.0,8300.0,8125.0,8150.0,17081900,6850.1513671875,0.0,0.0
2020-09-03,8150.0,8225.0,8150.0,8175.0,9683100,6871.1640625,0.0,0.0
2020-09-04,8200.0,8400.0,8125.0,8400.0,14782100,7060.279296875,0.0,0.0
2020-09-07,8400.0,8400.0,8250.0,8375.0,14396400,7039.265625,0.0,0.0
2020-09-08,8375.0,8375.0,8325.0,8375.0,5156800,7039.265625,0.0,0.0
2020-09-09,8225.0,8325.0,8225.0,8250.0,11364100,6934.2021484375,0.0,0.0
2020-09-10,8200.0,8200.0,7900.0,7975.0,25116900,6703.0625,0.0,0.0
2020-09-11,7850.0,8300.0,7800.0,8300.0,8948800,6976.2275390625,0.0,0.0
2020-09-14,8325.0,8325.0,8125.0,8200.0,17218200,6892.1767578125,0.0,0.0
2020-09-15,8200.0,8225.0,8050.0,8100.0,11223900,6808.12646484375,0.0,0.0
2020-09-16,8100.0,8150.0,8000.0,8000.0,3827300,6724.0751953125,0.0,0.0
2020-09-17,8025.0,8100.0,8000.0,8075.0,2734700,6787.11376953125,0.0,0.0
2020-09-18,8100.0,8125.0,8025.0,8025.0,8783200,6745.08837890625,0.0,0.0
2020-09-21,8025.0,8075.0,7950.0,8000.0,3295800,6724.0751953125,0.0,0.0
2020-09-22,7900.0,8000.0,7900.0,7950.0,7428400,6682.0498046875,0.0,0.0
2020-09-23,7950.0,8000.0,7900.0,7925.0,9067300,6661.03662109375,0.0,0.0
2020-09-24,7850.0,7900.0,7775.0,7800.0,7510400,6555.97314453125,0.0,0.0
2020-09-25,7850.0,7975.0,7775.0,7925.0,8029400,6661.03662109375,0.0,0.0
2020-09-28,7875.0,7950.0,7875.0,7900.0,5378100,6640.02392578125,0.0,0.0
2020-09-29,7900.0,8200.0,7900.0,7975.0,7464700,6703.0625,0.0,0.0
2020-09-30,8050.0,8100.0,7950.0,8100.0,5521300,6808.12646484375,0.0,0.0
2020-10-01,8075.0,8100.0,7975.0,8025.0,4384800,6745.08837890625,0.0,0.0
2020-10-02,7950.0,8000.0,7950.0,8000.0,3689800,6724.0751953125,0.0,0.0
2020-10-05,8100.0,8100.0,8000.0,8075.0,7906400,6787.11376953125,0.0,0.0
2020-10-06,8100.0,8125.0,7950.0,7975.0,6818900,6703.0625,0.0,0.0
2020-10-07,7975.0,8025.0,7925.0,8000.0,7614400,6724.0751953125,0.0,0.0
2020-10-08,8000.0,8050.0,7950.0,8025.0,5225600,6745.08837890625,0.0,0.0
2020-10-09,8025.0,8050.0,7975.0,8050.0,4652000,6766.10107421875,0.0,0.0
2020-10-12,8100.0,8100.0,7950.0,7950.0,6704300,6682.0498046875,0.0,0.0
2020-10-13,7950.0,7975.0,7900.0,7975.0,5744000,6703.0625,0.0,0.0
2020-10-14,7975.0,7975.0,7900.0,7925.0,9576500,6661.03662109375,0.0,0.0
2020-10-15,7925.0,7975.0,7900.0,7925.0,6237200,6661.03662109375,0.0,0.0
2020-10-16,7925.0,8000.0,7900.0,8000.0,4947200,6724.0751953125,0.0,0.0
2020-10-19,8000.0,8025.0,7900.0,7900.0,6586600,6640.02392578125,0.0,0.0
2020-10-20,7950.0,8000.0,7900.0,8000.0,4784600,6724.0751953125,0.0,0.0
2020-10-21,8000.0,8025.0,7950.0,7950.0,8550600,6682.0498046875,0.0,0.0
2020-10-22,7950.0,8000.0,7850.0,7850.0,9883400,6597.99853515625,0.0,0.0
2020-10-23,7825.0,7950.0,7800.0,7925.0,7956200,6661.03662109375,0.0,0.0
2020-10-26,7950.0,7950.0,7875.0,7875.0,5298300,6619.0126953125,0.0,0.0
2020-10-27,7875.0,7900.0,7750.0,7825.0,13298500,6576.98583984375,0.0,0.0
2020-11-02,7825.0,7825.0,7600.0,7625.0,17741500,6408.8837890625,0.0,0.0
2020-11-03,7725.0,7850.0,7650.0,7825.0,8572700,6576.98583984375,0.0,0.0
2020-11-04,7850.0,7950.0,7800.0,7800.0,6185300,6555.97314453125,0.0,0.0
2020-11-05,7950.0,7975.0,7775.0,7900.0,9875000,6640.02392578125,0.0,0.0
2020-11-06,7900.0,8100.0,7825.0,8075.0,18386900,6787.11376953125,0.0,0.0
2020-11-09,8075.0,8100.0,7850.0,7950.0,15537900,6682.0498046875,0.0,0.0
2020-11-10,8050.0,8050.0,7800.0,7800.0,25530300,6555.97314453125,0.0,0.0
